Name,CR,Type,Size,Image URL
Treant Sapling,2,Plant,Large,https://www.dndbeyond.com/avatars/thumbnails/20472/598/100/100/637677446427783147.jpeg
Zarak,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/20472/610/100/100/637677446964284398.jpeg
Darkling Elder,2,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/20487/334/100/100/637677953103864864.jpeg
Crystal Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/21205/181/100/100/637707682392794557.jpeg
Draconian Mage,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/21205/202/100/100/637707682420562002.jpeg
Dragon Speaker,2,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/21205/218/100/100/637707682440997873.jpeg
Dragonnel,2,Dragon,Large,https://www.dndbeyond.com/avatars/thumbnails/21205/243/100/100/637707682476877157.jpeg
Egg Hunter Hatchling,2,Monstrosity,Tiny,https://www.dndbeyond.com/avatars/thumbnails/21205/250/100/100/637707682484676863.jpeg
Emerald Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/21205/256/100/100/637707682492476888.jpeg
Moonstone Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/21205/292/100/100/637707682543487669.jpeg
Swarm of Hoard Scarabs,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/21205/309/100/100/637707682564391169.jpeg
Topaz Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/21205/312/100/100/637707682569071128.jpeg
Lorehold Apprentice,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/22135/805/100/100/637743395575636713.jpeg
Prismari Apprentice,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/22135/820/100/100/637743395593288155.jpeg
Quandrix Apprentice,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/22135/823/100/100/637743395597908454.jpeg
Relic Sloth,2,Beast,Huge,https://www.dndbeyond.com/avatars/thumbnails/22135/826/100/100/637743395602168891.jpeg
Silverquill Apprentice,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/22135/833/100/100/637743395611129620.jpeg
Witherbloom Apprentice,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/22135/845/100/100/637743395631181340.jpeg
Oreioth,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25139/629/100/100/637856398691246817.jpeg
Wiggan Nettlebee,2,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/25139/664/100/100/637856399441836876.jpeg
Howling Hatred Priest,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25141/176/100/100/637856445196533924.jpeg
Black Earth Guard,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25141/199/100/100/637856445727313983.jpeg
Clockwork Horror,2,Construct,Small,https://www.dndbeyond.com/avatars/thumbnails/25265/557/100/100/637861450520830276.jpeg
Star Lancer,2,Celestial,Large,https://www.dndbeyond.com/avatars/thumbnails/25265/560/100/100/637861450526620634.jpeg
Adult Kruthik,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/103/100/100/637880557079599340.jpeg
Aurochs,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/25746/148/100/100/637880557151065982.jpeg
Bard,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/166/100/100/637880557182548903.jpeg
Berbalang,2,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/172/100/100/637880557192639802.jpeg
Duergar Hammerer,2,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/318/100/100/637880557439762509.jpeg
Duergar Mind Master,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/321/100/100/637880557444112805.jpeg
Duergar Stone Guard,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/327/100/100/637880557454283699.jpeg
Duergar Xarrorn,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/334/100/100/637880557466614884.jpeg
Guard Drake,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/441/100/100/637880557673803750.jpeg
Hobgoblin Iron Shadow,2,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/450/100/100/637880557689945513.jpeg
Meenlock,2,Fey,Small,https://www.dndbeyond.com/avatars/thumbnails/25746/523/100/100/637880557810836659.jpeg
Ogre Howdah,2,Giant,Large,https://www.dndbeyond.com/avatars/thumbnails/25746/588/100/100/637880557907635580.jpeg
Rutterkin,2,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/613/100/100/637880557944448831.jpeg
Shadow Mastiff,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/633/100/100/637880557977607602.jpeg
Vegepygmy Chief,2,Plant,Small,https://www.dndbeyond.com/avatars/thumbnails/25746/735/100/100/637880558127183918.jpeg
Yuan-ti Broodguard,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/783/100/100/637880558202721034.jpeg
Darkling Elder,2,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/25881/936/100/100/637885590075157851.jpeg
Nothic,2,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/26231/285/100/100/637898663725871357.jpeg
Berbalang,2,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/264/464/100/100/636595819946357680.jpeg
Rutterkin,2,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/266/680/100/100/636596813455091165.jpeg
Eternal Flame Guardian,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/27350/875/100/100/637937784387102294.jpeg
Ogre Howdah,2,Giant,Large,https://www.dndbeyond.com/avatars/thumbnails/277/751/100/100/636601885249951692.jpeg
Duergar Mind Master,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/277/761/100/100/636601888754529457.jpeg
Aartuk Starhorror,2,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/772/100/100/637961800645871044.jpeg
Aartuk Weedling,2,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/775/100/100/637961800651330916.jpeg
Autognome,2,Construct,Small,https://www.dndbeyond.com/avatars/thumbnails/28079/803/100/100/637961800709049996.jpeg
Lunar Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/883/100/100/637961800859119677.jpeg
Psurlon,2,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/914/100/100/637961800917462767.jpeg
Space Clown,2,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/923/100/100/637961800937118655.jpeg
Thri-kreen Hunter,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/953/100/100/637961800994213731.jpeg
Vampirate,2,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/960/100/100/637961801005445625.jpeg
Adult Kruthik,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/281/244/100/100/636603648267097754.jpeg
Yellow Musk Creeper,2,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/30/774/100/100/636395101744005941.jpeg
Hadozee Explorer,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/30164/523/100/100/638036924899270126.jpeg
Bozak Draconian,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/30414/515/100/100/638046466541271066.jpeg
Fewmaster Gholcag,2,Giant,Large,https://www.dndbeyond.com/avatars/thumbnails/30414/528/100/100/638046466561742888.jpeg
Nevermind Gnome Inventor,2,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/30551/132/100/100/638052384118852209.jpeg
Duergar Stone Guard,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/322/330/100/100/636623501424615551.jpeg
Giant Tick,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/35952/725/100/100/638264236491693176.jpeg
Goblin Psi Brawler,2,Aberration,Small,https://www.dndbeyond.com/avatars/thumbnails/36576/577/100/100/638291908517419463.jpeg
Infected Townsperson,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/36576/599/100/100/638291908554235396.jpeg
Nezznar the Spider,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/36576/619/100/100/638291908591830940.jpeg
Faerie Pathlighter,2,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/36958/352/100/100/638308300184762835.jpeg
Sewer King,2,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/36958/375/100/100/638308300229846596.jpeg
Dabus,2,Celestial,Medium,https://www.dndbeyond.com/avatars/thumbnails/37204/413/100/100/638318543609192930.jpeg
Lantern Archon,2,Celestial,Small,https://www.dndbeyond.com/avatars/thumbnails/37204/482/100/100/638318543754739769.jpeg
Musteval Guardinal,2,Celestial,Small,https://www.dndbeyond.com/avatars/thumbnails/37204/497/100/100/638318543789683748.jpeg
Oddlewin,2,Fey,Small,https://www.dndbeyond.com/avatars/thumbnails/37782/627/100/100/638342873825240339.jpeg
Derwyth,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/42855/619/100/100/638560560736834060.jpeg
Sion,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/42855/644/100/100/638560560776614411.jpeg
Vegepygmy Thorny Hunter,2,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/42855/659/100/100/638560560802666267.jpeg
Ogre Zombie,2,Undead,Large,https://www.dndbeyond.com/avatars/thumbnails/46992/15/100/100/638736097247260016.jpeg
Allosaurus,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/575/100/100/638741963717916049.jpeg
Animated Rug of Smothering,2,Construct,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/609/100/100/638741963768617807.jpeg
Ankheg,2,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/611/100/100/638741963771463383.jpeg
Awakened Tree,2,Plant,Huge,https://www.dndbeyond.com/avatars/thumbnails/47138/629/100/100/638741963794903465.jpeg
Azer Sentinel,2,Elemental,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/635/100/100/638741963804597702.jpeg
Bandit Captain,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47138/641/100/100/638741963812124513.jpeg
Bronze Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/684/100/100/638741963871327054.jpeg
Bulette Pup,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/688/100/100/638741963877621706.jpeg
Carrion Crawler,2,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/695/100/100/638741963886575702.jpeg
Centaur Trooper,2,Fey,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/697/100/100/638741963890005751.jpeg
Druid,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47138/775/100/100/638741963994240067.jpeg
Ettercap,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/801/100/100/638741964030691988.jpeg
Faerie Dragon Adult,2,Dragon,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47138/805/100/100/638741964038078286.jpeg
Gargoyle,2,Elemental,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/829/100/100/638741964069830078.jpeg
Gelatinous Cube,2,Ooze,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/833/100/100/638741964076554653.jpeg
Ghast,2,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/837/100/100/638741964081742942.jpeg
Giant Boar,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/851/100/100/638741964097222858.jpeg
Giant Constrictor Snake,2,Beast,Huge,https://www.dndbeyond.com/avatars/thumbnails/47138/855/100/100/638741964102900581.jpeg
Giant Elk,2,Celestial,Huge,https://www.dndbeyond.com/avatars/thumbnails/47138/861/100/100/638741964111814007.jpeg
Gibbering Mouther,2,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/893/100/100/638741964158774660.jpeg
Githzerai Monk,2,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/901/100/100/638741964171136739.jpeg
Gnoll Pack Lord,2,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/915/100/100/638741964188514934.jpeg
Green Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/937/100/100/638741964216519319.jpeg
Grick,2,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/947/100/100/638741964230600134.jpeg
Griffon,2,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/949/100/100/638741964233313670.jpeg
Hunter Shark,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/993/100/100/638741964297895187.jpeg
Myconid Sovereign,2,Plant,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/105/100/100/638741964448613678.jpeg
Nothic,2,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/124/100/100/638741964476014474.jpeg
Ochre Jelly,2,Ooze,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/128/100/100/638741964481981807.jpeg
Pegasus,2,Celestial,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/139/100/100/638741964496881813.jpeg
Peryton,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/147/100/100/638741964506731585.jpeg
Plesiosaurus,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/165/100/100/638741964533176362.jpeg
Polar Bear,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/167/100/100/638741964536449881.jpeg
Poltergeist,2,Undead,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47139/169/100/100/638741964538965951.jpeg
Priest,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47139/173/100/100/638741964544427520.jpeg
Quaggoth,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/185/100/100/638741964558645333.jpeg
Rhinoceros,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/199/100/100/638741964578412102.jpeg
Saber-Toothed Tiger,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/207/100/100/638741964591244625.jpeg
Sahuagin Priest,2,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/211/100/100/638741964597663134.jpeg
Sea Hag,2,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/229/100/100/638741964620185281.jpeg
Silver Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/246/100/100/638741964641520283.jpeg
Spined Devil,2,Fiend,Small,https://www.dndbeyond.com/avatars/thumbnails/47139/262/100/100/638741964667811141.jpeg
Swarm of Stirges,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/294/100/100/638741964715374320.jpeg
Swarm of Venomous Snakes,2,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/296/100/100/638741964718648534.jpeg
Intellect Devourer,2,Aberration,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47139/3/100/100/638741964311337866.jpeg
Wererat,2,Monstrosity,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47139/367/100/100/638741964814579558.jpeg
White Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/373/100/100/638741964822241116.jpeg
Will-o’-Wisp,2,Undead,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47139/377/100/100/638741964828974862.jpeg
Lizardfolk Geomancer,2,Elemental,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/42/100/100/638741964362057675.jpeg
Mage Apprentice,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47139/46/100/100/638741964368451966.jpeg
Merrow,2,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/70/100/100/638741964402735497.jpeg
Mimic,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/74/100/100/638741964408547486.jpeg
Minotaur Skeleton,2,Undead,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/83/100/100/638741964419651046.jpeg
Modron Pentadrone,2,Construct,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/89/100/100/638741964429046643.jpeg
Berserker,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47158/221/100/100/638742804951282434.jpeg
Cultist Fanatic,2,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47158/402/100/100/638742813028339856.jpeg
Ogre,2,Giant,Large,https://www.dndbeyond.com/avatars/thumbnails/47158/579/100/100/638742820393142602.jpeg
Black Dragon Wyrmling,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/47159/497/100/100/638742862600832424.jpeg
Hybrid Flier,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/4719/775/100/100/636755100856928761.jpeg
Skyjek Roc,2,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/4719/794/100/100/636755103216699993.jpeg
Counterflux Blastseeker,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/4719/962/100/100/636755116505203932.jpeg
Rakdos Lampooner,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/4719/993/100/100/636755119017220891.jpeg
Werebat,2,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/4772/19/100/100/636764577388523150.jpeg
Ivlis,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/51505/702/100/100/638932886801308325.jpeg
Ankheg (Stranger Things),2,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/51925/757/100/100/638951219332135307.jpeg
Demogorgon Spawn,2,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/51925/779/100/100/638951219358188432.jpeg
Korex,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/51925/801/100/100/638951219384413195.jpeg
Ettercap (variant),2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/5737/991/100/100/636898352106555667.jpeg
Refrum,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6049/841/100/100/636935452631524093.jpeg
Koalinth Sergeant,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6055/877/100/100/636936222840226979.jpeg
Dagdra Deepforge,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6214/270/100/100/636952485520507809.jpeg
Keg Robot,2,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/6221/861/100/100/636953247305651411.png
Splugoth the Returned,2,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/6221/904/100/100/636953254023555755.png
Enormous Tentacle,2,Beast,Huge,https://www.dndbeyond.com/avatars/thumbnails/6221/959/100/100/636953266007104562.jpeg
Brahma Lutier,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6272/339/100/100/636958499935266533.png
Oak Truestrike,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6272/345/100/100/636958500306879736.png
Pendragon Beestinger,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6272/349/100/100/636958500625607260.png
Phoenix Anvil,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6272/352/100/100/636958500860120203.png
Glabbagool,2,Ooze,Large,https://www.dndbeyond.com/avatars/thumbnails/6556/820/100/100/636987879974765127.png
Droki,2,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/6556/848/100/100/636987883121212784.png
Sladis Vadir,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6556/920/100/100/636987897205500140.png
Barnibus Blastwind,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6566/243/100/100/636988822001719674.png
Griffon Cavalry Rider,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6567/102/100/100/636988915059588161.png
Reaper of Bhaal,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6757/3/100/100/637006856394263050.png
Inspired,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7725/654/100/100/637091626818677177.jpeg
Inspired (Tsucora variant),2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7725/661/100/100/637091627254145529.jpeg
Inspired (Kalaraq variant),2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7725/665/100/100/637091627494313965.jpeg
Inspired (Hashalaq variant),2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7725/669/100/100/637091627746032217.jpeg
Undying Soldier,2,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/7726/195/100/100/637091692560150671.jpeg
Tarkanan Assassin,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7727/188/100/100/637091785253806514.jpeg
Faerie Dragon (Older),2,Dragon,Tiny,https://www.dndbeyond.com/avatars/thumbnails/8/610/100/100/636312391009671396.jpeg
Carrion Crawler,2,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/8/803/100/100/636319242379639973.jpeg
Githzerai Monk,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/8/844/100/100/636320027488426893.jpeg
Intellect Devourer,2,Aberration,Tiny,https://www.dndbeyond.com/avatars/thumbnails/8/914/100/100/636320970223956904.jpeg
Blindheim,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/8006/73/100/100/637115700249592860.jpeg
Spined Devil,2,Fiend,Small,https://www.dndbeyond.com/avatars/thumbnails/9/119/100/100/636323629154630235.jpeg
Myconid Sovereign,2,Plant,Large,https://www.dndbeyond.com/avatars/thumbnails/9/37/100/100/636322692434125939.jpeg
Orog,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/45/100/100/636322752251354345.jpeg
Peryton,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/48/100/100/636322768843115447.jpeg
Quaggoth,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/54/100/100/636322786622588959.jpeg
Grung Elite Warrior,2,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/9/684/100/100/636330429327102159.jpeg
Guard Drake,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/689/100/100/636330448954306029.jpeg
Blue Guard Drake,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/691/100/100/636330455263372195.jpeg
Green Guard Drake,2,Dragon,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/693/100/100/636330459322578061.jpeg
Hobgoblin Iron Shadow,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/703/100/100/636330491982483364.jpeg
Meenlock,2,Fey,Small,https://www.dndbeyond.com/avatars/thumbnails/9/738/100/100/636331246607267469.jpeg
Orc Claw of Luthic,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/765/100/100/636331414502219293.jpeg
Shadow Mastiff,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/793/100/100/636332036585498468.jpeg
Vegepygmy Chief,2,Plant,Small,https://www.dndbeyond.com/avatars/thumbnails/9/808/100/100/636332076388536201.jpeg
Yuan-ti Broodguard,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/826/100/100/636332209998564319.jpeg
Aurochs,2,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/9/838/100/100/636332242296208079.jpeg
Bard,2,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/846/100/100/636332330771500694.jpeg
Shadow Mastiff Alpha,2,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/924/100/100/636334639356142398.jpeg
Basilisk,3,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/184/100/100/636252762167578273.jpeg
Manticore,3,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/0/186/100/100/636252762622641747.jpeg
Bearded Devil,3,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/192/100/100/636252763396979340.jpeg
Minotaur,3,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/0/216/100/100/636252765008399409.jpeg
Mummy,3,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/224/100/100/636252765552579764.jpeg
Nightmare,3,Fiend,Large,https://www.dndbeyond.com/avatars/thumbnails/0/272/100/100/636252769492661436.jpeg
Phase Spider,3,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/0/318/100/100/636252772537829906.jpeg
Green Hag,3,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/364/100/100/636252778947949822.jpeg
Hell Hound,3,Fiend,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/392/100/100/636252782460736418.jpeg
Winter Wolf,3,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/0/53/100/100/636252725269484101.jpeg
Wight,3,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/55/100/100/636252726349380364.jpeg
Werewolf,3,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/72/100/100/636252734043190643.jpeg
Fleecemane Lion,3,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/10836/655/100/100/637266345314402627.jpeg
Lampad,3,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/10836/759/100/100/637266348837211903.jpeg
Awakened White Moose,3,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/12734/841/100/100/637357081589058528.jpeg
Brain in a Jar,3,Undead,Small,https://www.dndbeyond.com/avatars/thumbnails/12734/846/100/100/637357081597950229.jpeg
Galvan Magen,3,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/12734/874/100/100/637357081637885577.jpeg
Goliath Warrior,3,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/12734/888/100/100/637357081660213836.jpeg
Kobold Vampire Spawn,3,Undead,Small,https://www.dndbeyond.com/avatars/thumbnails/12734/918/100/100/637357081706057527.jpeg
Sephek Kaltro,3,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/12734/944/100/100/637357081745836784.jpeg
Snow Golem,3,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/12734/947/100/100/637357081750048208.jpeg
Snowy Owlbear,3,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/12939/276/100/100/637366468995079086.jpeg
Yakfolk Warrior,3,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/13/147/100/100/636357410575383480.jpeg
Phantom Warrior,3,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/13140/618/100/100/637375842300193793.jpeg
Kiril Stoyanovich,3,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/13280/4/100/100/637382731405473497.jpeg
Illusionist,3,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/14/316/100/100/636363345970222877.jpeg
Spectator,3,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/14/484/100/100/636364324602264823.jpeg
Derro Savant,3,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/15/4/100/100/636369568413466850.jpeg
Dralmorrer Borngray,3,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/15/457/100/100/636373110593836094.jpeg
